country,region,iso3,avg_score,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption,total_rank_change,total_score_change
Singapore,Southeastern Asia,SGP,6.7685,1.583705,0.94379,0.9862200000000001,0.51511,0.319055,0.480985,-2,-0.058999999999999275
United Arab Emirates,Asia,ARE,6.748999921162923,1.7417811231613165,1.1174700771967567,0.7405994121233624,0.49678175671895336,0.26964731550216664,0.2532447818517685,-7,0.2519999999999989
Panama,Latin America and Caribbean,PAN,6.743500000000001,1.123295,1.09381,0.7524799999999999,0.5156850000000001,0.24307,0.08846500000000002,0,-0.08499999999999996
United Arab Emirates,Middle East and Northern Africa,ARE,6.737,1.5003949999999997,0.998445,0.76959,0.6018600000000001,0.265095,0.37072,8,-0.3280000000000003
Czech Republic,Europe,CZE,6.72400006866455,1.2848941173553465,1.4699617389043165,0.8428146677017214,0.4969820578893027,0.06603558629751206,0.03562430903315544,-7,0.25599999999999934
Chile,Latin America and Caribbean,CHL,6.6875,1.161925,1.0151700000000001,0.8387,0.409605,0.32478999999999997,0.1216,-3,0.03500000000000014
Malta,Europe,MLT,6.626666650136313,1.3044266128540034,1.5111372216542567,0.9016480789184571,0.5992556838989257,0.44191019169489537,0.14868868962923704,-8,0.23799999999999955
Argentina,Latin America and Caribbean,ARG,6.612,1.10244,1.157175,0.7421699999999999,0.43629,0.1122,0.0789,-4,0.07599999999999962
Mexico,Americas,MEX,6.55366668955485,1.0870612726211533,1.261954053243,0.7773263325691223,0.4415766694545747,0.087996810932954,0.10025803820292166,2,-0.18300000000000072
Czech Republic,Central and Eastern Europe,CZE,6.5504999999999995,1.244065,1.1071799999999998,0.804295,0.43891,0.103075,0.03319,-4,0.09100000000000019
France,Western Europe,FRA,6.5265,1.33633,1.13273,0.8918700000000002,0.507865,0.12246000000000001,0.19227000000000002,3,-0.09699999999999953
Chile,Americas,CHL,6.523999983469647,1.1809282032648734,1.3280083179473865,0.8491599013010661,0.38829842623074834,0.236887473742167,0.06642932736873627,2,-0.2610000000000001
Uruguay,Latin America and Caribbean,URY,6.515000000000001,1.1216149999999998,1.1201649999999999,0.766715,0.57375,0.20648,0.22976000000000002,-3,0.05999999999999961
France,Europe,FRA,6.5076666374206535,1.34930782063802,1.4419256172180166,0.9324886172612507,0.4754073718388877,0.11292076893647501,0.17716747609774267,-8,0.11399999999999899
Qatar,Middle East and Northern Africa,QAT,6.493,1.757345,0.9791200000000001,0.75728,0.6035950000000001,0.324805,0.501285,8,-0.23599999999999977
Colombia,Latin America and Caribbean,COL,6.479000000000001,0.9744649999999999,1.130935,0.64368,0.491005,0.17013500000000004,0.052595,-2,0.004000000000000448
Thailand,Southeastern Asia,THA,6.4645,1.0281,1.1549049999999998,0.6938249999999999,0.526085,0.58163,0.030100000000000002,-1,0.019000000000000128
Brazil,Americas,BRA,6.45133340962728,1.03245107014974,1.4481020015080766,0.6978507843017576,0.4401512489318847,0.12378329821427668,0.09503092038631433,15,-0.6520000000000001
Venezuela,Latin America and Caribbean,VEN,6.446999999999999,1.088955,1.1444899999999998,0.66978,0.313775,0.050455,0.096865,21,-0.726
Taiwan,Asia,TWN,6.4435,1.3665,1.4329999999999998,0.8855000000000001,0.3845,0.1965,0.08750000000000001,-9,0.06700000000000017
Guatemala,Americas,GTM,6.4239999987284335,0.8176673153241476,1.2641950645446767,0.6314133299191793,0.556770205974579,0.2124961309432984,0.07540775952736538,-12,0.11200000000000188
Taiwan Province of China,Asia,TWN,6.421999931335449,1.4336265325546296,1.38456535339355,0.793984234333038,0.36146658658981307,0.2583604753017431,0.0638292357325554,0,0
Panama,Americas,PAN,6.401000047047933,1.1649161453247066,1.4177308495839434,0.791718711535136,0.5543422780036927,0.14818564641475668,0.06266130799055102,6,-0.3800000000000008
Saudi Arabia,Middle East and Northern Africa,SAU,6.3950000000000005,1.44247,0.96611,0.65646,0.34476,0.14581500000000003,0.31266,-1,-0.03200000000000003
Malta,Western Europe,MLT,6.395,1.2576099999999997,1.20041,0.84518,0.5767950000000001,0.539945,0.1557,-7,0.18600000000000083
Singapore,Asia,SGP,6.392333342234293,1.5977592233022069,1.4226047878265364,1.0328307983080547,0.5789468564987184,0.292655327161153,0.4581025950113934,12,-0.4770000000000012
Uruguay,Americas,URY,6.375333332061767,1.1448532317479465,1.4454092896779367,0.793738941192627,0.5757974181175234,0.14403230969111133,0.16102062424023936,4,-0.2519999999999998
Qatar,Asia,QAT,6.374333333333333,1.73458856201172,1.2967656265894567,0.7763660292625426,0.604376994450887,0.2688246233463287,0.25909975186983736,-7,-0.001000000000000334
Saudi Arabia,Asia,SAU,6.363333287556967,1.4375411850611366,1.3248925329844168,0.6727161099116006,0.4659168574810027,0.10853867129484801,0.17747741826375332,-6,-0.004000000000000448
Argentina,Americas,ARG,6.357666659037274,1.11676515420278,1.4468170483907066,0.7733790278434753,0.5118397346337638,0.07915235356489832,0.05457996257146201,21,-0.5639999999999992
Spain,Europe,ESP,6.355666625976562,1.3071326214472467,1.5180303007761633,0.9719868666330973,0.4065937434832257,0.16171119054158534,0.0746380323767662,-7,-0.007000000000000561
Spain,Western Europe,ESP,6.345,1.28632,1.22162,0.9172900000000002,0.41748,0.17946,0.062675,1,0.03200000000000003
Taiwan,Eastern Asia,TWN,6.3385,1.344135,1.0012050000000001,0.835475,0.36058500000000004,0.254355,0.073795,-4,0.0810000000000004
Suriname,Latin America and Caribbean,SUR,6.269,1.0461,0.8753299999999999,0.558765,0.559455,0.16828,0.131625,0,0
Kuwait,Middle East and Northern Africa,KWT,6.267,1.58568,1.02176,0.680305,0.49332500000000007,0.16096500000000002,0.24639,2,-0.05599999999999916
Colombia,Americas,COL,6.247333291371663,1.0052074416478467,1.4170609788894666,0.6903426411946614,0.49282913835843406,0.11567149098714201,0.03988958061734837,12,-0.35600000000000165
Guatemala,Latin America and Caribbean,GTM,6.2235,0.790035,0.957375,0.59232,0.54056,0.28148500000000004,0.090865,-4,0.20099999999999962
Trinidad & Tobago,Americas,TTO,6.191999999999999,1.2269999999999999,1.4845,0.6385000000000001,0.532,0.178,0.0175,1,0
Trinidad and Tobago,Americas,TTO,6.168000221252439,1.36135590076447,1.3802285194397002,0.519983291625977,0.518630743026733,0.325296461582184,0.008964816108345989,-5,2.2125243948067919e-7
Trinidad and Tobago,Latin America and Caribbean,TTO,6.167999999999999,1.2687749999999998,1.084615,0.5704549999999999,0.5216850000000001,0.31889500000000004,0.011904999999999999,2,0
Thailand,Asia,THA,6.167999928792317,1.0646229238510134,1.4172641518910731,0.7274130098025003,0.591400243918101,0.4317077034314473,0.029537578413883835,19,-0.4660000000000002
Slovakia,Europe,SVK,6.1563333498636865,1.2604645191828399,1.5153530807495132,0.7899109703699746,0.3279391548633577,0.12518149363994602,0.01740361721316973,-7,0.11999999999999922
El Salvador,Americas,SLV,6.140999927520753,0.836594831943512,1.2183750305175767,0.6746728509267169,0.4411508432229361,0.07875266180435816,0.0819936532974243,-11,0.1850000000000005
Bahrain,Asia,BHR,6.130333297729493,1.3961374203364068,1.3523701537450168,0.7407110115687053,0.5555823063850404,0.22355616227785735,0.16334738985697433,-5,-0.019000000000000128
Nicaragua,Americas,NIC,6.105666699727377,0.6997664012908936,1.3104052365620933,0.7293653202056883,0.46985061550140367,0.23655807232856768,0.12856266061464933,-3,0.11299999999999955
El Salvador,Latin America and Caribbean,SLV,6.099,0.8191200000000001,0.9174100000000001,0.636685,0.38809499999999997,0.09784500000000002,0.11194500000000002,4,-0.06200000000000028
Poland,Europe,POL,6.09266668319702,1.2245959542592368,1.44390399010976,0.7881584493319193,0.5164473705291747,0.12782198886076604,0.057769268731276205,-17,0.34699999999999953
Bahrain,Middle East and Northern Africa,BHR,6.089,1.382,1.080105,0.7020599999999999,0.46433500000000005,0.172545,0.28186,-7,0.258
Uzbekistan,Asia,UZB,6.080333398183187,0.7501470292409259,1.5539897165298466,0.6197575425306957,0.671082887649536,0.35532788236935936,0.24850940771897637,-8,0.1869999999999994
Kuwait,Asia,KWT,6.069666673024496,1.53565081723531,1.2932329161961866,0.7050352360407509,0.514445864200592,0.17909659930070235,0.139386516769727,10,-0.21800000000000086
Italy,Europe,ITA,6.062333408355713,1.3176888729731233,1.4779744272232065,0.9460481158892313,0.25615023756027233,0.15592988272508002,0.028676030471920966,-14,0.24599999999999955
Slovakia,Central and Eastern Europe,SVK,6.0365,1.22432,1.176335,0.746345,0.27571,0.15365,0.03189,0,0.08300000000000018
Ecuador,Americas,ECU,6.0029999656677235,0.9339401327768966,1.30938960456848,0.7632120741208394,0.5030660661856333,0.13003748834133133,0.11571154916286468,-1,0.051999999999998714
Lithuania,Europe,LTU,6.000999983469646,1.24986078262329,1.5051720355351765,0.72098331340154,0.29174392831325535,0.026388218892117336,0.019955214284360402,-18,0.3360000000000003
Uzbekistan,Central and Eastern Europe,UZB,5.995,0.684175,1.2542650000000002,0.549675,0.6333449999999999,0.285815,0.29579500000000003,5,-0.016000000000000014
Algeria,Middle East and Northern Africa,DZA,5.9799999999999995,0.995975,0.955405,0.61785,0.247925,0.07433000000000001,0.16770000000000002,-30,0.75
Ecuador,Latin America and Caribbean,ECU,5.9755,0.91854,0.9293850000000001,0.73844,0.44422,0.108075,0.180635,3,0.001000000000000334
Italy,Western Europe,ITA,5.9625,1.303045,1.11972,0.9027400000000001,0.22531500000000002,0.19753500000000002,0.027285,0,0.028999999999999915
Belize,Latin America and Caribbean,BLZ,5.956,0.87616,0.6865499999999999,0.45569,0.5123099999999999,0.23684000000000002,0.10771000000000001,0,0
Belize,Americas,BLZ,5.955999925613405,0.857487658023834,1.091208899497985,0.46209588301181803,0.570254686117172,0.211507820427418,0.09279053580760956,-3,0
Japan,Eastern Asia,JPN,5.954000000000001,1.325405,1.15883,0.9530099999999999,0.48188,0.10464500000000002,0.18522499999999997,7,-0.06599999999999984
Romania,Europe,ROU,5.94666660308838,1.1652279704411834,1.2003637634913131,0.745386104106903,0.482334580818812,0.10150663924217233,0.0034626335663100103,-23,0.5420000000000007
Slovenia,Europe,SVN,5.941333299001057,1.2727353181839,1.4938396069208766,0.8666094093322754,0.5898586025238037,0.18221636442343403,0.05104299292961757,-19,0.34999999999999964
Malaysia,Asia,MYS,5.915000036875407,1.2244051399230966,1.2378820114135733,0.7052614758809407,0.4220883274873097,0.32920297654469804,0.049533569375673936,33,-0.6659999999999995
Nicaragua,Latin America and Caribbean,NIC,5.91,0.643545,1.018525,0.697635,0.5102850000000001,0.28794,0.178045,-9,0.1640000000000006
South Korea,Eastern Asia,KOR,5.9094999999999995,1.3020450000000001,0.8398400000000001,0.9259149999999999,0.29188000000000003,0.186905,0.07786500000000002,10,-0.14900000000000002
Latvia,Europe,LVA,5.907666634877524,1.19858287493388,1.4412383139928167,0.707188990275065,0.317569304148356,0.10669159535566967,0.06794757554928464,-15,0.3800000000000008
Japan,Asia,JPN,5.907000025431317,1.34597172609965,1.4391126095453899,0.9964919570287071,0.501208515326182,0.08952425605058667,0.15125357886155436,5,-0.03500000000000014
Moldova,Central and Eastern Europe,MDA,5.893,0.643125,0.9233,0.570675,0.2901,0.20474000000000003,0.01759,3,0.007999999999999119
Malaysia,Southeastern Asia,MYS,5.8875,1.1881399999999998,0.97524,0.6738,0.46027500000000005,0.372745,0.09791,-14,0.23499999999999943
Kazakhstan,Central and Eastern Europe,KAZ,5.8870000000000005,1.1759849999999998,1.038925,0.60877,0.460845,0.13419,0.09793,0,0.06400000000000095
South Korea,Asia,KOR,5.869333273569743,1.3228928143183398,1.1837581469217933,0.9637380253473917,0.2203072219689687,0.18555812239646902,0.05676088953018189,-3,0.05999999999999961
Bolivia,Latin America and Caribbean,BOL,5.856,0.7377749999999998,0.9081,0.5044500000000001,0.5418750000000001,0.21117000000000002,0.08273,8,-0.0680000000000005
Lithuania,Central and Eastern Europe,LTU,5.823,1.208215,1.16078,0.68901,0.201355,0.023330000000000004,0.014255,4,-0.020000000000000462
Poland,Central and Eastern Europe,POL,5.813000000000001,1.1857,1.163165,0.7348049999999999,0.49156,0.15601000000000004,0.048560000000000006,-3,0.043999999999999595
North Cyprus,Asia,CYP,5.80999994277954,1.3469113111495998,1.18630337715149,0.8346472382545472,0.471203625202179,0.26684570312500006,0.15535335242748305,-1,0.03899994277953933
Cyprus,Asia,CYP,5.809666604359943,1.2826460256576533,1.1817877575556432,0.9319049003918967,0.39470384645462037,0.22108476702372235,0.039079325467348096,-20,0.5
Slovenia,Central and Eastern Europe,SVN,5.808,1.242225,1.16499,0.83244,0.570095,0.25533000000000006,0.037110000000000004,8,-0.08000000000000007
Belarus,Central and Eastern Europe,BLR,5.807499999999999,1.08127,1.1414099999999998,0.68356,0.335145,0.12494000000000001,0.182735,2,-0.01100000000000012
Russia,Europe,RUS,5.80699994023641,1.2052593657175699,1.4667607962290432,0.6241164445877077,0.368927703857422,0.06642127413551013,0.029654293676217403,12,-0.20800000000000018
Kazakhstan,Asia,KAZ,5.80599992243449,1.20018542321523,1.4694563385645534,0.6553471835454306,0.43381809441248576,0.16532147435347236,0.11209429546197267,6,-0.11000000000000032
Mauritius,Africa,MUS,5.80266672897339,1.13313184897105,1.3328536634445198,0.7066691540082296,0.524415775378545,0.2736445836226147,0.05072718506058057,-9,0.2400000000000002
Russia,Central and Eastern Europe,RUS,5.786,1.18496,1.14439,0.6295849999999998,0.34680500000000003,0.014675,0.032955,-8,0.13999999999999968
Bolivia,Americas,BOL,5.784666651407877,0.7869188553492227,1.2198730173110965,0.5625434165000917,0.5585776422818504,0.16785357491175334,0.05949257538715997,2,-0.04299999999999837
Peru,Latin America and Caribbean,PER,5.7835,0.948105,0.89357,0.6800550000000001,0.39499000000000006,0.147545,0.056405000000000004,6,-0.08099999999999863
Northern Cyprus,Asia,CYP,5.7765,1.246,1.2315,0.9755,0.456,0.185,0.15800000000000003,6,-0.11699999999999999
