year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change
2016,Nicaragua,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582000000000007,0.29773,0.16292,-9,0.1640000000000006
2017,Nicaragua,Americas,43,6.071000099182132,0.737299203872681,1.2872157096862802,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,-5,0.07900009918213158
2018,Nicaragua,Americas,41,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128,-2,0.06999990081786844
2019,Nicaragua,Americas,45,6.1049999999999995,0.694,1.325,0.8350000000000001,0.43500000000000005,0.2,0.127,4,-0.036000000000000476
2015,Niger,Sub-Saharan Africa,144,3.8449999999999998,0.06939999999999999,0.7726500000000001,0.29707000000000006,0.47692000000000007,0.19387,0.15639000000000003,NA,NA
2016,Niger,Sub-Saharan Africa,142,3.8559999999999994,0.1327,0.6053,0.26162,0.38041,0.20970000000000003,0.17176000000000002,-2,0.010999999999999677
2017,Niger,Africa,135,4.027999877929688,0.16192533075809504,0.993025004863739,0.26850500702858,0.36365869641304,0.22867384552955597,0.13857294619083402,-7,0.17199987792968896
2018,Niger,Africa,134,4.1659999999999995,0.131,0.8670000000000001,0.221,0.39,0.17500000000000002,0.09899999999999999,-1,0.1380001220703111
2019,Niger,Africa,114,4.627999999999999,0.138,0.774,0.366,0.318,0.188,0.10200000000000001,-20,0.46199999999999974
2015,Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NA,NA
2016,Nigeria,Sub-Saharan Africa,103,4.875,0.7521599999999999,0.64498,0.05108,0.27854,0.23219,0.0305,25,-0.3929999999999998
2017,Nigeria,Africa,95,5.073999881744381,0.7837562561035161,1.2157704830169698,0.0569157302379608,0.394952565431595,0.23094719648361203,0.0261215660721064,-8,0.1989998817443812
2018,Nigeria,Africa,91,5.154999999999999,0.689,1.1720000000000002,0.048,0.462,0.201,0.032,-4,0.08100011825561815
2019,Nigeria,Africa,85,5.265,0.696,1.111,0.24500000000000002,0.42600000000000005,0.21500000000000002,0.041,-6,0.11000000000000032
2015,North Cyprus,Western Europe,66,5.694999999999999,1.20806,1.0700800000000001,0.9235599999999999,0.49027,0.26169,0.1428,NA,NA
2016,North Cyprus,Western Europe,62,5.771000000000001,1.31141,0.81826,0.8414200000000001,0.43596000000000007,0.26322,0.16578,-4,0.0760000000000014
2017,North Cyprus,Asia,61,5.80999994277954,1.3469113111495998,1.18630337715149,0.8346472382545472,0.471203625202179,0.26684570312500006,0.15535335242748305,-1,0.03899994277953933
2019,North Macedonia,Europe,84,5.274,0.983,1.294,0.8380000000000001,0.345,0.185,0.034,NA,NA
2018,Northern Cyprus,Asia,58,5.835,1.2289999999999999,1.2109999999999999,0.909,0.495,0.17900000000000002,0.15400000000000003,NA,NA
2019,Northern Cyprus,Asia,64,5.718,1.263,1.252,1.042,0.41700000000000004,0.191,0.162,6,-0.11699999999999999
2015,Norway,Western Europe,4,7.521999999999999,1.4589999999999999,1.33095,0.8852099999999999,0.6697299999999999,0.34698999999999997,0.36502999999999997,NA,NA
2016,Norway,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35775999999999997,0,-0.023999999999999133
2017,Norway,Europe,1,7.53700017929077,1.6164631843566901,1.5335235595703098,0.7966665029525759,0.6354225873947139,0.36201223731041005,0.315963834524155,-3,0.03900017929076949
2018,Norway,Europe,2,7.593999999999999,1.456,1.582,0.8610000000000001,0.6859999999999999,0.28600000000000003,0.33999999999999997,1,0.05699982070922971
2019,Norway,Europe,3,7.553999999999999,1.488,1.582,1.028,0.603,0.271,0.34099999999999997,1,-0.040000000000000036
2015,Oman,Middle East and Northern Africa,22,6.853,1.3601100000000002,1.0818199999999998,0.76276,0.6327400000000001,0.21542000000000003,0.32524,NA,NA
2015,Pakistan,Southern Asia,81,5.193999999999999,0.5954299999999999,0.41411000000000003,0.51466,0.12102000000000002,0.33670999999999995,0.10464000000000001,NA,NA
2016,Pakistan,Southern Asia,92,5.132,0.6881599999999999,0.26135,0.40306000000000003,0.14622000000000002,0.31185,0.1388,11,-0.06199999999999939
2017,Pakistan,Asia,80,5.26900005340576,0.7268835306167599,0.672690689563751,0.402047783136368,0.23521526157856004,0.31544601917266807,0.12434806674718901,-12,0.13700005340576027
2018,Pakistan,Asia,75,5.472,0.652,0.81,0.42400000000000004,0.33399999999999996,0.21600000000000003,0.113,-5,0.20299994659424048
2019,Pakistan,Asia,67,5.653,0.6769999999999999,0.886,0.535,0.313,0.22,0.098,-8,0.18099999999999916
2015,Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867,0.92558,0.6601499999999999,0.24499000000000004,0.11251,0.12905,NA,NA
2016,Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67024,0.71629,0.5684400000000001,0.17744000000000004,0.11154,0.10613000000000002,0,0.0389999999999997
2017,Palestinian Territories,Asia,103,4.775000095367431,0.7162492275238042,1.1556471586227401,0.565666973590851,0.25471106171608,0.11417317390441903,0.0892826020717621,-5,0.021000095367431193
2018,Palestinian Territories,Asia,104,4.743,0.642,1.2169999999999999,0.602,0.266,0.08600000000000001,0.07600000000000001,1,-0.032000095367430426
2019,Palestinian Territories,Asia,110,4.696,0.657,1.2469999999999999,0.6719999999999999,0.225,0.10300000000000001,0.066,6,-0.0470000000000006
