year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change,iso3,gdp_change,social_support_change,health_change,freedom_change,generosity_change,corruption_change
2018,Namibia,Africa,119,4.441000000000001,0.8740000000000001,1.281,0.365,0.519,0.051000000000000004,0.064,8,-0.1329998817443805,NAM,-0.09043432569503773,0.18252919292449987,0.02638818860053993,-0.0013035473823548305,-0.026133744955062932,-0.029146972358226816
2019,Namibia,Africa,113,4.639,0.8790000000000001,1.313,0.47700000000000004,0.401,0.07,0.056,-6,0.1979999999999995,NAM,0.0050000000000000044,0.03200000000000003,0.11200000000000004,-0.118,0.019000000000000003,-0.008
2015,Nepal,Southern Asia,121,4.513999999999999,0.35997,0.8644900000000001,0.5687400000000001,0.38282000000000005,0.32296,0.059070000000000004,NA,NA,NPL,NA,NA,NA,NA,NA,NA
2016,Nepal,Southern Asia,107,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008,-14,0.2790000000000008,NPL,0.08628999999999998,-0.1675000000000001,-0.06801000000000013,-0.012700000000000045,0.05863999999999997,0.011009999999999999
2017,Nepal,Asia,99,4.96199989318848,0.4798201918601991,1.17928326129913,0.5041307806968689,0.44030594825744607,0.3940961658954621,0.07297554612159732,-8,0.16899989318847997,NPL,0.033560191860199096,0.48229326129912997,0.003400780696868888,0.07018594825744606,0.012496165895462097,0.0028955461215973144
2018,Nepal,Asia,101,4.88,0.42500000000000004,1.228,0.539,0.526,0.302,0.07800000000000001,2,-0.08199989318848022,NPL,-0.05482019186019904,0.04871673870087001,0.03486921930313114,0.08569405174255396,-0.0920961658954621,0.005024453878402696
2019,Nepal,Asia,100,4.913,0.446,1.226,0.6769999999999999,0.43900000000000006,0.28500000000000003,0.089,-1,0.03300000000000036,NPL,0.020999999999999963,-0.0020000000000000018,0.1379999999999999,-0.08699999999999997,-0.01699999999999996,0.010999999999999982
2015,Netherlands,Western Europe,7,7.378,1.32944,1.28017,0.8928400000000001,0.61576,0.4761,0.31814,NA,NA,NLD,NA,NA,NA,NA,NA,NA
2016,Netherlands,Western Europe,7,7.339,1.46468,1.0291199999999998,0.81231,0.55211,0.47416,0.29927000000000004,0,-0.0389999999999997,NLD,0.13524000000000003,-0.2510500000000002,-0.0805300000000001,-0.06364999999999998,-0.0019399999999999973,-0.018869999999999942
2017,Netherlands,Europe,6,7.3769998550415,1.5039446353912398,1.4289392232894895,0.810696125030518,0.5853844881057739,0.4704898297786711,0.282661825418472,-1,0.03799985504149994,NLD,0.03926463539123981,0.3998192232894897,-0.0016138749694819543,0.033274488105773936,-0.003670170221328928,-0.016608174581528024
2018,Netherlands,Europe,6,7.441000000000001,1.361,1.488,0.8780000000000001,0.638,0.33299999999999996,0.29500000000000004,0,0.06400014495850037,NLD,-0.1429446353912398,0.059060776710510465,0.06730387496948209,0.052615511894226086,-0.13748982977867114,0.012338174581528027
2019,Netherlands,Europe,5,7.488,1.3960000000000001,1.522,0.999,0.557,0.322,0.29800000000000004,-1,0.04699999999999971,NLD,0.03500000000000014,0.03400000000000003,0.12099999999999989,-0.08099999999999996,-0.010999999999999954,0.0030000000000000027
2015,New Zealand,Australia and New Zealand,9,7.2860000000000005,1.25018,1.31967,0.90837,0.63938,0.47501000000000004,0.42922000000000005,NA,NA,NZL,NA,NA,NA,NA,NA,NA
2016,New Zealand,Australia and New Zealand,8,7.334,1.36066,1.1727800000000002,0.83096,0.5814699999999999,0.49401,0.41904,-1,0.047999999999999154,NZL,0.11047999999999991,-0.14688999999999974,-0.07740999999999998,-0.05791000000000002,0.01899999999999996,-0.010180000000000022
2017,New Zealand,Oceania,8,7.314000129699709,1.4057060480117798,1.54819512367249,0.8167597055435182,0.6140621304512018,0.5000051259994509,0.3828167021274571,0,-0.019999870300290823,NZL,0.045046048011779805,0.37541512367248986,-0.014200294456481855,0.032592130451201906,0.005995125999450901,-0.036223297872542914
2018,New Zealand,Oceania,8,7.323999999999999,1.268,1.601,0.8760000000000001,0.6689999999999999,0.365,0.389,0,0.009999870300290148,NZL,-0.13770604801177977,0.052804876327509964,0.059240294456481934,0.05493786954879809,-0.13500512599945091,0.006183297872542903
2019,New Zealand,Oceania,8,7.3069999999999995,1.303,1.557,1.026,0.585,0.32999999999999996,0.38,0,-0.01699999999999946,NZL,0.03499999999999992,-0.04400000000000004,0.1499999999999999,-0.08399999999999996,-0.03500000000000003,-0.009000000000000008
2015,Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.5932499999999999,1.14184,0.74314,0.5547500000000001,0.27815,0.19316999999999998,NA,NA,NIC,NA,NA,NA,NA,NA,NA
2016,Nicaragua,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582000000000007,0.29773,0.16292,-9,0.1640000000000006,NIC,0.10059000000000007,-0.24663000000000002,-0.09101000000000004,-0.08893000000000001,0.019579999999999986,-0.03024999999999997
2017,Nicaragua,Americas,43,6.071000099182132,0.737299203872681,1.2872157096862802,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,-5,0.07900009918213158,NIC,0.043459203872680985,0.39200570968628023,9.659606170649981e-4,-0.018268153495789086,0.00394421698570302,-0.032232018156052006
2018,Nicaragua,Americas,41,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128,-2,0.06999990081786844,NIC,-0.06929920387268107,0.031784290313719765,0.04690403938293497,0.07944815349578904,-0.093674216985703,-0.0026879818439480008
2019,Nicaragua,Americas,45,6.1049999999999995,0.694,1.325,0.8350000000000001,0.43500000000000005,0.2,0.127,4,-0.036000000000000476,NIC,0.026000000000000023,0.006000000000000005,0.13500000000000012,-0.09199999999999997,-0.008000000000000007,-0.0010000000000000009
2015,Niger,Sub-Saharan Africa,144,3.8449999999999998,0.06939999999999999,0.7726500000000001,0.29707000000000006,0.47692000000000007,0.19387,0.15639000000000003,NA,NA,NER,NA,NA,NA,NA,NA,NA
2016,Niger,Sub-Saharan Africa,142,3.8559999999999994,0.1327,0.6053,0.26162,0.38041,0.20970000000000003,0.17176000000000002,-2,0.010999999999999677,NER,0.06330000000000002,-0.1673500000000001,-0.03545000000000004,-0.09651000000000004,0.01583000000000004,0.015369999999999995
